bot_message,reply_1,reply_2,reply_3,reply_4,reply_5,topic1,topic2,topic3
What is your name?,My name is Yuki.,I am Noor.,My name is Noor.,I'm Noor.,I am Yuki.,3,11,22
Nice to meet you!,Nice to meet you too!,Nice to meet you!,You too!,Thank you!,Hi!,1,12,23
Say goodbye!,Bye!,See you!,Bye-bye!,Good night!,Goodbye!,1,14,21
What color is this?,I see gold.,This is gold.,It is gold.,Gold.,It is green.,3,10,14
What animal do you see?,I see a bee.,It is a bee.,A fish.,A bee.,"Look, a bee!",5,25,14
Do you like yogurt?,"No, I don't like yogurt.",Yummy!,"Yes, I like yogurt.",Yes!,I love yogurt!,1,17,11
What do you want to play with?,"The ball, please.",Let's play with the ball.,I like the ball.,I want the ball.,"A teddy, please.",3,10,14
How many do you see?,I see one.,Four.,There are one.,One.,One toys.,2,27,15
Who is this?,It is my mom.,This is my mom.,My sister.,My mom.,This is Lila.,1,13,22
Where are you?,I am home.,I am at school.,I am at the home.,In the farm.,At the home.,2,15,21
What can you do?,I can play.,I can run.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thanks!,Thank you!,Thanks a lot!,"Thank you, friend!",2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Please.,Okay.,Here you are.,7,11,22
Hello!,"Hello, Benny!",Hi!,Hello!,Hi there!,"Hi, friend!",1,12,23
How are you?,I am happy.,I am fine.,I am good.,I am okay.,I am great!,1,14,21
What is your name?,I am Ken.,I'm Ken.,My name is Ken.,I am Luca.,My name is Luca.,2,15,21
Nice to meet you!,Hi!,You too!,Nice to meet you!,Nice to meet you too!,Thank you!,3,11,22
Say goodbye!,Bye-bye!,See you!,Bye!,Goodbye!,Good night!,1,12,23
What color is this?,This is green.,Green.,It is green.,I see green.,Okay.,3,10,14
What animal do you see?,A bee.,A fish.,"Look, a bee!",I see a bee.,It is a bee.,5,25,14
Do you like yogurt?,"No, I don't like yogurt.",I love yogurt!,Yes!,"Yes, I like yogurt.",Yummy!,1,17,11
What do you want to play with?,"A teddy, please.",I like the ball.,I want the ball.,Let's play with the ball.,"The ball, please.",3,10,14
How many do you see?,Four.,One toys.,There are one.,I see one.,One.,2,27,15
Who is this?,My mom.,This is my mom.,This is Nico.,My sister.,It is my mom.,1,13,22
Where are you?,I am at the home.,In the farm.,At the home.,I am at school.,I am home.,2,15,21
What can you do?,I can eat.,I can run.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thanks!,"Thank you, friend!",Thank you!,Thanks a lot!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Okay.,"Yes, please.",Yes.,Please.,7,11,22
Hello!,Hi there!,Hi!,Hello!,"Hi, friend!","Hello, Benny!",3,11,22
How are you?,I am okay.,I am good.,I am fine.,I am great!,I am happy.,1,12,23
What is your name?,My name is Lara.,I am Lara.,My name is Sara.,I am Sara.,I'm Lara.,1,14,21
Nice to meet you!,You too!,Thank you!,Nice to meet you!,Nice to meet you too!,Hi!,2,15,21
Say goodbye!,Goodbye!,Good night!,Bye-bye!,Bye!,See you!,3,11,22
What color is this?,It is brown.,Brown.,I see brown.,It is green.,This is brown.,3,10,14
What animal do you see?,"Look, a bee!",A bee.,A fish.,It is a bee.,I see a bee.,5,25,14
Do you like yogurt?,Yummy!,I love yogurt!,"Yes, I like yogurt.",Yes!,"No, I don't like yogurt.",1,17,11
What do you want to play with?,"A teddy, please.",Let's play with the ball.,I want the ball.,I like the ball.,"The ball, please.",3,10,14
How many do you see?,Four.,There are one.,I see one.,One toys.,One.,2,27,15
Who is this?,This is my mom.,It is my mom.,This is Ana.,My sister.,My mom.,1,13,22
Where are you?,I am home.,I am at the home.,At the home.,I am at school.,In the farm.,2,15,21
What can you do?,I can play.,I can jump.,I can run.,I can eat.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you!,Thank you very much!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,"Yes, please.",Yes.,Okay.,7,11,22
Hello!,Hi!,Hello!,Hi there!,"Hi, friend!","Hello, Benny!",2,15,21
How are you?,I am okay.,I am good.,I am great!,I am happy.,I am fine.,3,11,22
What is your name?,My name is Sam.,I am Sam.,I'm Sam.,My name is Ben.,I am Ben.,1,12,23
Nice to meet you!,Nice to meet you too!,You too!,Hi!,Thank you!,Nice to meet you!,1,14,21
Say goodbye!,Good night!,Bye!,Goodbye!,Bye-bye!,See you!,2,15,21
What color is this?,Gray.,This is gray.,It is gray.,It is green.,I see gray.,3,10,14
What animal do you see?,I see a bee.,It is a bee.,A fish.,"Look, a bee!",A bee.,5,25,14
Do you like yogurt?,Yes!,Yummy!,"No, I don't like yogurt.",I love yogurt!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,"The ball, please.",I want the ball.,"A teddy, please.",Let's play with the ball.,I like the ball.,3,10,14
How many do you see?,Four.,One toys.,There are one.,I see one.,One.,2,27,15
Who is this?,My mom.,It is my mom.,My sister.,This is Luca.,This is my mom.,1,13,22
Where are you?,In the farm.,I am home.,I am at the home.,At the home.,I am at school.,2,15,21
What can you do?,I can run.,I can eat.,I can jump.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,Thank you!,Thanks a lot!,Thanks!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Here you are.,Yes.,"Yes, please.",Please.,Okay.,7,11,22
Hello!,Hi there!,Hello!,Hi!,"Hi, friend!","Hello, Benny!",1,14,21
How are you?,I am okay.,I am good.,I am fine.,I am great!,I am happy.,2,15,21
What is your name?,My name is Rui.,I am Noor.,I'm Noor.,I am Rui.,My name is Noor.,3,11,22
Nice to meet you!,You too!,Hi!,Nice to meet you too!,Nice to meet you!,Thank you!,1,12,23
Say goodbye!,Good night!,See you!,Bye-bye!,Bye!,Goodbye!,1,14,21
What color is this?,I see yellow.,It is green.,It is yellow.,This is yellow.,Yellow.,3,10,14
What animal do you see?,It is a butterfly.,A butterfly.,I see a butterfly.,"Look, a butterfly!",A fish.,5,25,14
Do you like yogurt?,Yes!,Yummy!,"No, I don't like yogurt.",I love yogurt!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,"A teddy, please.",I want the ball.,I like the ball.,"The ball, please.",Let's play with the ball.,3,10,14
How many do you see?,Four.,There are one.,One.,One toys.,I see one.,2,27,15
Who is this?,It is my mom.,My sister.,My mom.,This is Lila.,This is my mom.,1,13,22
Where are you?,I am at the home.,At the home.,I am home.,I am at school.,In the farm.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thank you!,Thanks a lot!,Thanks!,2,15,17
"Can I have some juice, please?",Okay.,Here you are.,Please.,Yes.,"Yes, please.",7,11,22
Hello!,Hi!,"Hi, friend!",Hello!,Hi there!,"Hello, Benny!",1,12,23
How are you?,I am okay.,I am happy.,I am fine.,I am great!,I am good.,1,14,21
What is your name?,My name is Ken.,My name is Hana.,I'm Ken.,I am Hana.,I am Ken.,2,15,21
Nice to meet you!,You too!,Thank you!,Nice to meet you too!,Hi!,Nice to meet you!,3,11,22
Say goodbye!,See you!,Bye!,Good night!,Goodbye!,Bye-bye!,1,12,23
What color is this?,Pink.,It is green.,I see pink.,This is pink.,It is pink.,3,10,14
What animal do you see?,A fish.,"Look, a butterfly!",A butterfly.,It is a butterfly.,I see a butterfly.,5,25,14
Do you like yogurt?,Yummy!,I love yogurt!,"No, I don't like yogurt.",Yes!,"Yes, I like yogurt.",1,17,11
What do you want to play with?,I want the ball.,I like the ball.,"The ball, please.","A teddy, please.",Let's play with the ball.,3,10,14
How many do you see?,I see one.,One.,There are one.,One toys.,Four.,2,27,15
Who is this?,My mom.,This is my mom.,It is my mom.,My sister.,This is Nico.,1,13,22
Where are you?,I am at school.,I am home.,In the farm.,I am at the home.,At the home.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks!,Thank you very much!,"Thank you, friend!",Thank you!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Please.,Okay.,Yes.,Here you are.,"Yes, please.",7,11,22
Hello!,Hi there!,Hello!,"Hi, friend!","Hello, Benny!",Hi!,3,11,22
How are you?,I am great!,I am okay.,I am fine.,I am good.,I am happy.,1,12,23
What is your name?,My name is Lara.,I am Sam.,My name is Sam.,I am Lara.,I'm Lara.,1,14,21
Nice to meet you!,Thank you!,Nice to meet you!,Nice to meet you too!,You too!,Hi!,2,15,21
Say goodbye!,Goodbye!,Bye-bye!,Good night!,Bye!,See you!,3,11,22
What color is this?,White.,It is white.,This is white.,It is green.,I see white.,3,10,14
What animal do you see?,A fish.,It is a butterfly.,I see a butterfly.,"Look, a butterfly!",A butterfly.,5,25,14
Do you like yogurt?,"Yes, I like yogurt.",Yummy!,"No, I don't like yogurt.",Yes!,I love yogurt!,1,17,11
What do you want to play with?,Let's play with the ball.,"The ball, please.",I like the ball.,I want the ball.,"A teddy, please.",3,10,14
How many do you see?,I see one.,There are one.,Four.,One toys.,One.,2,27,15
Who is this?,This is Ana.,This is my mom.,My mom.,My sister.,It is my mom.,1,13,22
Where are you?,I am at the home.,At the home.,In the farm.,I am at school.,I am home.,2,15,21
What can you do?,I can eat.,I can play.,I can run.,I can jump.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thank you!,Thanks a lot!,Thanks!,2,15,17
"Can I have some juice, please?",Okay.,Yes.,Here you are.,Please.,"Yes, please.",7,11,22
Hello!,"Hello, Benny!",Hi!,"Hi, friend!",Hi there!,Hello!,2,15,21
How are you?,I am good.,I am great!,I am okay.,I am happy.,I am fine.,3,11,22
What is your name?,I am Sam.,My name is Sam.,I'm Sam.,I am Maya.,My name is Maya.,1,12,23
Nice to meet you!,Nice to meet you!,Hi!,Nice to meet you too!,You too!,Thank you!,1,14,21
Say goodbye!,Goodbye!,Good night!,See you!,Bye!,Bye-bye!,2,15,21
What color is this?,I see blue.,This is blue.,It is blue.,Blue.,It is green.,3,10,14
What animal do you see?,A turtle.,"Look, a turtle!",A fish.,I see a turtle.,It is a turtle.,5,25,14
Do you like yogurt?,Yummy!,Yes!,"No, I don't like yogurt.","Yes, I like yogurt.",I love yogurt!,1,17,11
What do you want to play with?,"The ball, please.",I want the ball.,Let's play with the ball.,"A teddy, please.",I like the ball.,3,10,14
How many do you see?,There are one.,Four.,One.,I see one.,One toys.,2,27,15
Who is this?,This is my mom.,This is Luca.,My mom.,It is my mom.,My sister.,1,13,22
Where are you?,In the farm.,I am home.,I am at the home.,I am at school.,At the home.,2,15,21
What can you do?,I can eat.,I can run.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,"Thank you, friend!",Thanks!,Thank you!,Thank you very much!,2,15,17
"Can I have some juice, please?",Please.,Here you are.,Yes.,"Yes, please.",Okay.,7,11,22
Hello!,Hello!,"Hello, Benny!","Hi, friend!",Hi there!,Hi!,1,14,21
How are you?,I am happy.,I am good.,I am great!,I am okay.,I am fine.,2,15,21
What is your name?,My name is Lara.,I'm Noor.,My name is Noor.,I am Noor.,I am Lara.,3,11,22
Nice to meet you!,Thank you!,Nice to meet you!,You too!,Hi!,Nice to meet you too!,1,12,23
Say goodbye!,See you!,Bye!,Bye-bye!,Good night!,Goodbye!,1,14,21
What color is this?,It is purple.,This is purple.,It is green.,Purple.,I see purple.,3,10,14
What animal do you see?,It is a turtle.,A fish.,I see a turtle.,"Look, a turtle!",A turtle.,5,25,14
Do you like yogurt?,Yes!,"Yes, I like yogurt.",I love yogurt!,Yummy!,"No, I don't like yogurt.",1,17,11
What do you want to play with?,"A teddy, please.","The ball, please.",I like the ball.,I want the ball.,Let's play with the ball.,3,10,14
How many do you see?,One.,One toys.,I see one.,Four.,There are one.,2,27,15
Who is this?,This is Lila.,It is my mom.,My mom.,This is my mom.,My sister.,1,13,22
Where are you?,I am at school.,I am at the home.,At the home.,In the farm.,I am home.,2,15,21
What can you do?,I can jump.,I can run.,I can play.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thank you very much!,Thanks!,Thanks a lot!,2,15,17
"Can I have some juice, please?",Okay.,"Yes, please.",Here you are.,Yes.,Please.,7,11,22
Hello!,"Hello, Benny!",Hello!,Hi there!,"Hi, friend!",Hi!,1,12,23
How are you?,I am happy.,I am good.,I am fine.,I am okay.,I am great!,1,14,21
What is your name?,My name is Ken.,My name is Mia.,I'm Ken.,I am Mia.,I am Ken.,2,15,21
Nice to meet you!,Nice to meet you too!,Hi!,Nice to meet you!,Thank you!,You too!,3,11,22
Say goodbye!,Goodbye!,Bye-bye!,Good night!,Bye!,See you!,1,12,23
What color is this?,I see black.,Black.,It is green.,This is black.,It is black.,3,10,14
What animal do you see?,It is a turtle.,I see a turtle.,A fish.,A turtle.,"Look, a turtle!",5,25,14
Do you like yogurt?,"Yes, I like yogurt.",Yummy!,Yes!,"No, I don't like yogurt.",I love yogurt!,1,17,11
What do you want to play with?,I want the ball.,"The ball, please.",I like the ball.,Let's play with the ball.,"A teddy, please.",3,10,14
How many do you see?,Four.,There are one.,One toys.,I see one.,One.,2,27,15
Who is this?,This is my mom.,My sister.,My mom.,This is Nico.,It is my mom.,1,13,22
Where are you?,I am at school.,In the farm.,I am home.,I am at the home.,At the home.,2,15,21
What can you do?,I can play.,I can eat.,I can jump.,I can run.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thanks!,"Thank you, friend!",Thank you!,Thank you very much!,2,15,17
"Can I have some juice, please?",Here you are.,Yes.,Please.,"Yes, please.",Okay.,7,11,22
Hello!,"Hi, friend!",Hi!,Hello!,Hi there!,"Hello, Benny!",3,11,22
How are you?,I am fine.,I am okay.,I am good.,I am great!,I am happy.,1,12,23
What is your name?,I am Lila.,I am Lara.,My name is Lara.,My name is Lila.,I'm Lara.,1,14,21
Nice to meet you!,Thank you!,Hi!,Nice to meet you too!,You too!,Nice to meet you!,2,15,21
Say goodbye!,Good night!,Goodbye!,Bye!,Bye-bye!,See you!,3,11,22
What color is this?,Red.,This is red.,It is green.,It is red.,I see red.,3,10,14
What animal do you see?,A fish.,I see a snake.,"Look, a snake!",It is a snake.,A snake.,5,25,14
Do you like yogurt?,"No, I don't like yogurt.","Yes, I like yogurt.",Yummy!,Yes!,I love yogurt!,1,17,11
What do you want to play with?,I want the ball.,"A teddy, please.",I like the ball.,Let's play with the ball.,"The ball, please.",3,10,14
How many do you see?,One.,Four.,There are one.,One toys.,I see one.,2,27,15
Who is this?,My mom.,This is my mom.,My sister.,It is my mom.,This is Ana.,1,13,22
Where are you?,I am at school.,At the home.,I am home.,In the farm.,I am at the home.,2,15,21
What can you do?,I can run.,I can play.,I can jump.,I can eat.,Okay.,4,16,15
Please say thank you.,"Thank you, friend!",Thank you!,Thanks a lot!,Thanks!,Thank you very much!,2,15,17
"Can I have some juice, please?","Yes, please.",Here you are.,Okay.,Yes.,Please.,7,11,22
Hello!,Hi!,"Hello, Benny!",Hello!,Hi there!,"Hi, friend!",2,15,21
How are you?,I am happy.,I am great!,I am good.,I am fine.,I am okay.,3,11,22
What is your name?,My name is Sam.,My name is Omar.,I'm Sam.,I am Sam.,I am Omar.,1,12,23
Nice to meet you!,Hi!,Nice to meet you!,Nice to meet you too!,Thank you!,You too!,1,14,21
Say goodbye!,Goodbye!,Bye!,See you!,Bye-bye!,Good night!,2,15,21
What color is this?,It is green.,I see green.,This is green.,Green.,Okay.,3,10,14
What animal do you see?,"Look, a snake!",A fish.,I see a snake.,It is a snake.,A snake.,5,25,14
Do you like yogurt?,"No, I don't like yogurt.","Yes, I like yogurt.",I love yogurt!,Yummy!,Yes!,1,17,11
What do you want to play with?,"The ball, please.",Let's play with the ball.,I want the ball.,I like the ball.,"A teddy, please.",3,10,14
How many do you see?,There are one.,I see one.,One toys.,One.,Four.,2,27,15
Who is this?,This is my mom.,It is my mom.,This is Luca.,My mom.,My sister.,1,13,22
Where are you?,I am home.,In the farm.,I am at the home.,At the home.,I am at school.,2,15,21
What can you do?,I can run.,I can eat.,I can play.,I can jump.,Okay.,4,16,15
Please say thank you.,Thanks a lot!,Thanks!,Thank you!,Thank you very much!,"Thank you, friend!",2,15,17
"Can I have some juice, please?",Yes.,Please.,"Yes, please.",Okay.,Here you are.,7,11,22
Hello!,Hi there!,"Hi, friend!","Hello, Benny!",Hi!,Hello!,1,14,21
How are you?,I am okay.,I am great!,I am happy.,I am fine.,I am good.,2,15,21
What is your name?,I am Noor.,My name is Noor.,I am Luca.,I'm Noor.,My name is Luca.,3,11,22
Nice to meet you!,Nice to meet you too!,Hi!,You too!,Nice to meet you!,Thank you!,1,12,23
Say goodbye!,Good night!,Goodbye!,See you!,Bye-bye!,Bye!,1,14,21
What color is this?,I see brown.,Brown.,This is brown.,It is green.,It is brown.,3,10,14
What animal do you see?,I see a snake.,A snake.,It is a snake.,"Look, a snake!",A fish.,5,25,14
Do you like yogurt?,I love yogurt!,Yes!,"Yes, I like yogurt.","No, I don't like yogurt.",Yummy!,1,17,11
What do you want to play with?,I want the ball.,"The ball, please.","A teddy, please.",I like the ball.,Let's play with the ball.,3,10,14
How many do you see?,One toys.,I see one.,One.,There are one.,Four.,2,27,15
Who is this?,My sister.,This is Lila.,This is my mom.,It is my mom.,My mom.,1,13,22
Where are you?,I am at the home.,In the farm.,I am at school.,I am home.,At the home.,2,15,21
What can you do?,I can jump.,I can run.,I can eat.,I can play.,Okay.,4,16,15
Please say thank you.,Thank you very much!,"Thank you, friend!",Thanks!,Thanks a lot!,Thank you!,2,15,17
"Can I have some juice, please?","Yes, please.",Yes.,Please.,Okay.,Here you are.,7,11,22
Hello!,"Hi, friend!",Hi!,"Hello, Benny!",Hello!,Hi there!,1,12,23
How are you?,I am good.,I am great!,I am okay.,I am fine.,I am happy.,1,14,21
What is your name?,My name is Sara.,My name is Ken.,I am Sara.,I am Ken.,I'm Ken.,2,15,21
Nice to meet you!,Hi!,You too!,Nice to meet you too!,Thank you!,Nice to meet you!,3,11,22
Say goodbye!,Bye-bye!,See you!,Bye!,Goodbye!,Good night!,1,12,23
What color is this?,This is gold.,It is gold.,It is green.,I see gold.,Gold.,3,10,14
What animal do you see?,I see a snake.,A snake.,"Look, a snake!",It is a snake.,A fish.,5,25,14
Do you like yogurt?,Yes!,"Yes, I like yogurt.","No, I don't like yogurt.",Yummy!,I love yogurt!,1,17,11
